链家编号,标题,小区名称,小区纬度,小区经度,邻近地铁站,所属街道,所属区域,总价,地铁线路,每平方售价,建造时间,室数,厅数,厨数,卫数,所在楼层,楼层总数,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯数,户数,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,url,别墅类型,抵押信息
107102550240,低楼层 采光无遮挡 近地铁 交通便利 看房联系维护人,双山小区,31.266823,121.430636,新村路站,甘泉宜川,普陀,215,7,52774,1995,1,1,1,1,低楼层,6,40.74,平层,暂无数据,板楼,南,砖混结构,简装,一,四,无,2020-05-18,商品房,暂无数据,普通住宅,暂无数据,非共有,https://sh.lianjia.com/ershoufang/107102550240.html,,
107102577404,黄兴公园地铁口两居室   1梯2户,浣纱四村,31.306836,121.539547,黄兴公园站,黄兴公园,杨浦,445,8,64177,1997,2,1,1,1,低楼层,6,69.34,平层,暂无数据,板楼,南,砖混结构,简装,一,两,无,2020-05-24,商品房,2016-08-22,普通住宅,满两年,共有,https://sh.lianjia.com/ershoufang/107102577404.html,,
107102539858,齐河花苑，小区环境好绿化好，周/边配套齐全居住舒适,齐河花苑,31.18736,121.523713,高科西路站,世博,浦东,315,6,53201,1997,2,1,1,1,高楼层,6,59.21,平层,暂无数据,板楼,南,砖混结构,精装,一,两,无,2020-05-16,商品房,2016-08-08,普通住宅,满两年,共有,https://sh.lianjia.com/ershoufang/107102539858.html,,
107102396774,绿城上海御园 3室2厅 1150万,绿城上海御园,31.224383,121.662766,东靖路站,高行,浦东,1150,6,86714,未知,3,2,1,2,中楼层,12,132.62,平层,暂无数据,板楼,南,钢混结构,精装,一,两,有,2020-04-16,商品房,2016-08-24,普通住宅,满两年,共有,https://sh.lianjia.com/ershoufang/107102396774.html,,
107102027599,此房满五不唯一  双南小两房  采光佳 适合刚需客,诸新三村,31.215003,121.296804,暂无信息,华漕,闵行,224,暂无信息,36135,1994,2,1,1,1,高楼层,6,61.99,平层,39.97㎡,板楼,南,砖混结构,简装,一,四,无,2019-11-30,商品房,2002-02-12,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102027599.html,,
107102570156,颐亭花园(公寓) 2室2厅 364万,颐亭花园(公寓),31.154224,121.303851,暂无信息,九亭,松江,364,暂无信息,36779,2010,2,2,1,1,中楼层,14,98.97,平层,暂无数据,板楼,南 北,钢混结构,精装,一,两,有,2020-05-23,商品房,2012-11-20,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107102570156.html,,
107102350619,急售！急售！三湘四季大三房  精装修 税费少 中高层,三湘四季花城,31.061573,121.235629,松江大学城站,松江大学城,松江,580,9,42786,2006,3,2,1,2,高楼层,14,135.56,平层,暂无数据,板楼,南 北,钢混结构,精装,一,两,有,2020-04-06,商品房,2007-12-19,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102350619.html,,
107102516047,此房满五唯一 南北户型，诚意出售 2001年商品房,联鑫坊,31.292274,121.590573,东陆路站,高行,浦东,415,12,49276,2001,2,1,1,1,低楼层,6,84.22,平层,暂无数据,板楼,南,砖混结构,精装,一,两,无,2020-05-11,商品房,暂无数据,普通住宅,暂无数据,非共有,https://sh.lianjia.com/ershoufang/107102516047.html,,
107102538614,售后公房 满五唯一 双南双天井 精装修  采光无遮挡,杜鹃园,31.161461,121.419365,暂无信息,康健,徐汇,480,暂无信息,76470,1990,2,1,1,1,低楼层,6,62.77,平层,暂无数据,板楼,南,砖混结构,精装,一,四,无,2020-05-16,商品房,2018-06-15,普通住宅,未满两年,非共有,https://sh.lianjia.com/ershoufang/107102538614.html,,
107102459990,【看完上瘾】南北两房+满五唯一+不靠马路+惊艳楼层,东一小区,31.276437,121.602715,五莲路站,金桥,浦东,300,6,44965,1996,2,1,1,1,中楼层,6,66.72,平层,暂无数据,板楼,南,砖混结构,简装,一,三,无,2020-04-29,商品房,暂无数据,普通住宅,暂无数据,共有,https://sh.lianjia.com/ershoufang/107102459990.html,,
107102575351,售后公房 南北无遮挡 近地铁 中间楼层 采光通风好,宜山路701弄,31.179813,121.424264,桂林路站,田林,徐汇,338,9,67358,1982,2,0,0,1,中楼层,6,50.18,平层,暂无数据,板楼,南,砖混结构,简装,一,四,无,2020-05-24,商品房,暂无数据,普通住宅,暂无数据,共有,https://sh.lianjia.com/ershoufang/107102575351.html,,
107102489709,店长推荐售后公房全明双南两房产权清晰看房方便,八一小区,31.293995,121.498771,暂无信息,曲阳,虹口,308,暂无信息,56932,1988,2,1,1,1,高楼层,6,54.1,暂无数据,暂无数据,板楼,南,砖混结构,简装,一,三,无,2020-05-06,商品房,1995-04-14,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107102489709.html,,
107102486465,松江新城精装修 低总价三房税费少 带电梯 属民乐 诚,江诚苑,31.030656,121.234782,松江新城站,松江新城,松江,319,9,25182,1998,3,2,1,2,中楼层,6,126.68,平层,暂无数据,板楼,南,砖混结构,精装,一,两,无,2020-05-05,商品房,2011-06-15,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107102486465.html,,
107102483455,南面临河南北通小三房，楼层佳，婚房装修，诚意出售,绿庭尚城,31.152953,121.318414,暂无信息,九亭,松江,390,暂无信息,43776,2011,3,2,1,1,中楼层,14,89.09,平层,暂无数据,板楼,南,钢混结构,精装,一,两,有,2020-05-04,商品房,2012-08-30,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107102483455.html,,
107102455791,全明户型，双南两房，楼层好，采光佳，税费少,蒲汇新村,31.162049,121.36282,七宝站,七宝,闵行,424,9,78417,1994,2,1,1,1,中楼层,6,54.07,平层,暂无数据,板楼,南,砖混结构,精装,一,四,无,2020-04-28,商品房,2015-12-04,普通住宅,满两年,共有,https://sh.lianjia.com/ershoufang/107102455791.html,,
107102535416,小区成熟，近地铁，业主诚心，总价低,荡湾新村,31.049168,121.772464,暂无信息,惠南,浦东,106,暂无信息,26952,1986,1,1,1,1,高楼层,5,39.33,平层,暂无数据,板楼,南,砖混结构,精装,一,三,无,2020-05-15,商品房,暂无数据,普通住宅,暂无数据,非共有,https://sh.lianjia.com/ershoufang/107102535416.html,,
107102534391,精装修一房，地铁口  诚意卖 随时可以看,上钢七村,31.178479,121.493727,长清路站,世博,浦东,185,7,58824,1983,1,1,1,1,高楼层,6,31.45,平层,31.45㎡,板楼,南,砖混结构,精装,一,三,无,2020-05-15,商品房,2001-05-30,普通住宅,未满两年,共有,https://sh.lianjia.com/ershoufang/107102534391.html,,
107102576258,南北直通，公园景观房，买进价高，无增值税、个税,珠江新城,31.03917,121.215885,暂无信息,松江新城,松江,345,暂无信息,31344,2005,2,2,1,1,高楼层,24,110.07,平层,暂无数据,板楼,南 北,钢混结构,精装,两,三,有,2020-05-24,商品房,2017-02-23,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107102576258.html,,
107102564079,海防村 2室1厅 645万,海防村,31.244905,121.4515,暂无信息,江宁路,静安,645,暂无信息,177198,1998,2,1,1,2,高楼层,4,36.4,复式,暂无数据,板楼,南 北,砖混结构,精装,一,三,无,2020-05-21,商品房,2014-05-31,普通住宅,未满两年,非共有,https://sh.lianjia.com/ershoufang/107102564079.html,,
107102575039,满五唯一，户型方正，楼层好，近地铁,宜达新居,31.169113,121.155589,汇金路站,夏阳,青浦,360,17,29113,2006,3,2,1,2,低楼层,6,123.66,平层,暂无数据,板楼,南,砖混结构,简装,八,两,有,2020-05-24,商品房,暂无数据,普通住宅,暂无数据,共有,https://sh.lianjia.com/ershoufang/107102575039.html,,
107102278034,总价低，精装修，使用面积大，适合居住，看房方便,控江七村,31.289142,121.53859,延吉中路站,控江路,杨浦,230,8,77572,1981,2,1,1,1,高楼层,5,29.65,暂无数据,暂无数据,板楼,南,砖混结构,精装,一,六,无,2020-03-21,商品房,2016-03-15,普通住宅,未满两年,共有,https://sh.lianjia.com/ershoufang/107102278034.html,,
107101907428,满五 观澜 全明户型 交通便利,城南居委小区,31.198189,121.712858,暂无信息,川沙,浦东,233,暂无信息,36407,1989,2,1,1,1,高楼层,5,64,平层,暂无数据,板楼,南 北,砖混结构,精装,一,两,无,2019-10-24,商品房,1998-05-07,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107101907428.html,,
107102471413,电梯房，采光无遮挡，房东诚心出售,德盈佳园,31.063668,121.805281,暂无信息,惠南,浦东,188,暂无信息,20624,2008,2,2,0,1,低楼层,11,91.16,平层,暂无数据,板楼,南,钢混结构,简装,一,两,有,2020-05-02,商品房,2011-11-23,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107102471413.html,,
107102524084,二号线北新泾站地铁口50米，2008年次新房，中间楼,长宁馥邦苑,31.224063,121.380085,北新泾站,北新泾,长宁,850,2,63193,2008,3,2,1,2,中楼层,14,134.51,平层,暂无数据,板楼,南,钢混结构,精装,一,两,有,2020-05-13,商品房,2009-11-30,普通住宅,未满两年,非共有,https://sh.lianjia.com/ershoufang/107102524084.html,,
107102193130,业主诚意卖，满五唯一，户型好，得房率高，带阁楼,天宝恬苑,31.137263,121.331716,暂无信息,九亭,松江,250.8,暂无信息,35727,2000,2,1,1,1,高楼层,6,70.2,复式,暂无数据,板楼,南 北,砖混结构,精装,一,两,无,2020-02-25,商品房,2014-04-26,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102193130.html,,
107102581677,中间楼层 业主诚心出售房子 精装修,绿地东岸涟城,30.890325,121.923349,暂无信息,临港新城,浦东,244,暂无信息,27819,2009,2,2,1,1,中楼层,5,87.71,平层,暂无数据,板楼,南,钢混结构,精装,一,两,无,2020-05-25,商品房,暂无数据,普通住宅,暂无数据,共有,https://sh.lianjia.com/ershoufang/107102581677.html,,
